Phylostratum	GeneID	X4wpc	X5wpc	X6wpc	X7wpc	X8wpc	X9wpc	X10wpc	X11wpc	X12wpc	X13wpc	X16wpc	X18wpc	X19wpc	Neonate	Infant	Toddler	Teen	YoungAdult	MidAdult
1	ENSG00000000003	0.614376495491547	0.475300426730634	0.458736230410077	0.634036566264578	0.233554693692516	0.344832476994728	0.395659696747604	0.452166295756081	0.526965580112616	0.485830688338473	0.458375001498126	0.28797564005241	0.439007301677926	0.27261750879697	0.140078959258822	0.204699176734741	0.194208050500527	0.365840498453803	0.217149144428081
1	ENSG00000000419	0.19522216125837	0.197213463105473	0.181258347099619	0.155879371401683	0.231356181161874	0.165189524997199	0.245974792377352	0.180686773418941	0.149888225999863	0.158595187713212	0.173537385606876	0.193482188472376	0.141720269268489	0.185027589352287	0.122278074106134	0.147572897540602	0.086019607343486	0.127022709182047	0.19765530397733
1	ENSG00000000457	0.464591403478131	0.60908444459271	0.389743432810454	0.337801232570069	0.331559761229803	0.372023123466773	0.269366232901287	0.228397707119899	0.217828012007134	0.255488242554032	0.392457397205214	0.241891849729468	0.386795606488658	0.165067506326912	0.255697723817434	0.167121935693181	0.279899261917669	0.0879617350697632	0.195655801753622
4	ENSG00000000460	0.321596111303434	0.213355392534331	0.221821359549286	0.298286871794743	0.253319125630332	0.205600709252589	0.19550978437848	0.219013651141799	0.22449590613061	0.254393484952348	0.205764468950565	0.375716077787676	0.253532258835666	0.164255234821606	0.135631245481653	0.132737707958387	0.0300763584861962	0.234370701862242	0.172370039121376
1	ENSG00000000938	0	0	0	0	0.0332717472048153	0.160923043012072	0	0.160487464484875	0	1.11022302462516e-16	0	0	0.163649780843712	4.44089209850063e-16	0.151631779767466	0	0	0	0.515332371324933
1	ENSG00000001036	0.210946740909744	0.0711091170742812	0.150514978206569	0.137906028544495	0.242388398711628	0.170507395687175	0.216962476782737	0.237654067962468	0.271277720468102	0.15081941205687	0.171657449728676	0.39197448535278	0.146398325519188	0.202454736713057	0.191943732928287	0.0207561486006762	0.132814932604906	0.12912054902142	0.0742451923172558
1	ENSG00000001084	0.55348828786325	0.45563031698303	0.282972788443308	0.284662879446575	0.290206715760126	0.276467015616797	0.326407073135703	0.30941957133552	0.396602862356666	0.379784296866086	0.2090172831666	0.420892703302245	0.287871237507625	0.207374522473068	0.210266012833974	0.253830113344317	0.117329557340414	0.292355021605836	0.20279129927695
2	ENSG00000001167	0.866393227979701	0.858087072251386	0.37114682042387	0.798949873882071	0.170610001027996	0.226514278276406	0.280385742193532	0.384102743730987	0.421099573056555	0.470349827139655	0.300893211760186	0.830037670558117	0.453028556552812	0.444227919708112	0.240106307792607	0.684464450052571	0	0	0.519252870208049
2	ENSG00000001460	0.208417386425034	0.201488532919306	0.18932516879335	0.147550899676475	0.229013377097245	0.13619956070721	0.195995046487947	0.254513520236316	0.280636362680828	0.230741221546487	0.193479362314988	0.0104075271005781	0.12904534413641	0.170595956002898	0.0643677076391722	0.116713813007419	0	0.1404899771775	0.105016756966715
2	ENSG00000001461	0.168131377164959	0.0921185300927208	0.0639321474214227	0.0373561639908214	0.108051785032186	0.0511213245827056	0.064966909096947	0.0596915008545175	0.0447625679042803	0.0419880318510521	0.0281420263787416	0.0230001221309791	0.0472861498459305	0.0812486078220649	0.0311281806571455	0.027093926654977	0	0.0123379037822561	0.115878186476242
