Phylostratum	GeneID	X4wpc	X5wpc	X6wpc	X7wpc	X8wpc	X9wpc	X10wpc	X11wpc	X12wpc	X13wpc	X16wpc	X18wpc	X19wpc	Neonate	Infant	Toddler	School	Teen	YoungAdult	MidAdult	Elderly
4	ENSG00000000003	0.426717646349973	0.413361804799589	0.298888113014976	0.479568237076613	0.0878707472510413	0.213356290143204	0.11234018812368	0.228393635434232	0.450034617566205	0.357230826483368	0.363752374432049	0.160861148951964	0.355593816905341	0.052139111365991	0.275741033575109	0.261771666198563	0.0241604166849094	0.00605638535438979	0.0463890706671026	0.194974714741349	0.00210603327218717
2	ENSG00000000419	0.157500940959829	0.0928028427673191	0.155147839540046	0.153762001738184	0.184914541079079	0.155213086545906	0.155482781162875	0.131032439713388	0.13172352090238	0.130203119451851	0.193738636814144	0.150063514280674	0.138342340486943	0.17768586471332	0.225205005730521	0.168703994377148	0.123660898161916	0.164103575866804	0.146990720100739	0.129002969302806	0.151671140248947
8	ENSG00000000457	0.425339518310773	0.284561442220702	0.252062058197088	0.382756923824742	0.324576249487667	0.271155122216621	0.205603192285435	0.303182614968175	0.357167828891177	0.20083520477075	0.253938463996158	0.303673432628544	0.259258622972918	0.308034923385705	0.123770846054563	0.193205567863689	0.464997907169847	0.328061120320453	0.347601928374067	0.18733056560297	0.303772248226714
9	ENSG00000000460	0.210331245535104	0.143901239261325	0.234283842747246	0.250602107537616	0.223209220103199	0.230261571053065	0.181853861221	0.185712427873541	0.266725919270872	0.247292268719047	0.26639675152968	0.232491110421309	0.294566044851811	0.261680842701705	0.134950582739639	0.338485355418463	0.223335507629726	0.261347209610268	0.276641227362166	0.186180054131173	0.145843239483668
7	ENSG00000001036	0.0600227145366531	0.0348246175213347	0.0581765709800287	0.0283895704778735	0.0721072332555137	0.0352292445874182	0.0426180790371335	0.0520055205858048	0.00994102417407117	0.0184961316648846	0.0730293438891738	0.0165084780630565	0.025501248480812	0.058303668002547	0.0550440289076896	0.0624805724450606	0.0511593262779306	0.0593330936138217	0.0466319141363171	0.040259564960528	0.0843487159414456
2	ENSG00000001084	0.314145746101381	0.258951694668966	0.364409158956873	0.48500228917557	0.340423315303592	0.312666229475766	0.24968691608819	0.318938720416116	0.381867292202355	0.580550597823921	0.430895665377157	0.389894879899725	0.348557880633857	0.313620798952198	0.191147805382752	0.250187144072258	0.15308472998767	0.123922234024236	0.185491610787338	0.183350641171937	0.199357389815659
1	ENSG00000001167	0.897196403900449	0.630388103443035	0.649094361973404	0.840895012655224	0.419154536649244	0.47419085881726	0.080941036086775	0.456685072225174	0.990007189226584	0.881938764219807	0.817308604359122	0.795473350460216	0.773387154818961	0.657654209836306	0.503534197342275	0.808724583528516	0.345486487925337	0	0.286795778879252	0.811196607287317	0
2	ENSG00000001461	0.148030514591448	0.184545691765751	0.267283564810083	0.231357754680406	0.326299751301061	0.267954011502826	0.350851610509322	0.320223813980367	0.170753963967629	0.196333226414349	0.187488668513976	0.212131155819577	0.169543313251185	0.431487167288475	0.186501303069437	0.243579786072174	0.11430961842476	0.263280637618754	0.271879350411993	0.293574299700616	0.352791204360802
9	ENSG00000001497	0.174841697598555	0.105879898061129	0.113347252275711	0.137664678148194	0.148308649956703	0.108042085656593	0.105532708506076	0.138843759887055	0.121751896613019	0.0930548930097618	0.109957894130742	0.112995595678851	0.102553991633478	0.167578745948948	0.0987055534030788	0.124849791201286	0.0606718581218727	0.102461997069035	0.115975971435038	0.0465258725292903	0.146391418527682
4	ENSG00000001617	0.374355666246901	0.226146099351632	0.148228788628782	0.286199479938894	0.0661245143974478	0.0496916755686334	0.0671462162783138	0.271117662983333	0.403725538523716	0.18786559505232	0.051174760083569	0.093641291300395	0.0594443742787523	0.171077457565764	0.126687922924152	0.142953257991703	0.0574319648792443	0.0521910437091786	0.0773077013905341	0.154471026911853	0.0367099354791078
3	ENSG00000001629	0.560184924750365	0.115188550817943	0.196916962722853	0.241350242918233	0.125291635278515	0.123520392945233	0.0380267677846446	0.2473606993731	0.384024311676543	0.479715753043426	0.187298976051823	0.223218273516924	0.18845027291048	0.127641105180732	0.28217499513133	0.0937392035447409	0.0797381565414486	0	0.0616169706203492	0.19056761642338	0.0540456598430701
4	ENSG00000001630	0.16341050349221	0.0458468868930912	0.00959522014834752	0.0666275388739732	0.0175775640963487	0.0146834720609863	0.0046270725687247	0.0557076587368405	0.132376700645206	0.0384325831032329	0.0159763091389283	0.0266791611747477	0.0231466232319446	0.0138674898007841	0.0127116781862792	0.00587051301689756	0.00290127664129469	0	0.00940897022738873	0.0272738198074824	0.00135034434121933
2	ENSG00000001631	0.176656126375129	0.206070970172067	0.160936523701764	0.204684117034136	0.116887430266692	0.139166908097518	0.0635348819627129	0.135503718741528	0.132811159013842	0.123827093792331	0.192287131211615	0.14323902607734	0.17922896995064	0.159153943141721	0.109751747057827	0.213527039096854	0.173050009143681	0.0459296417338892	0.115372297177687	0.226773440522529	0.0765583141260147
7	ENSG00000002016	0.190087373011831	0.219766007467992	0.201722577885975	0.345086926626844	0.223321538580829	0.193006899729013	0.138191290306108	0.192911757482326	0.334964081352997	0.268648498133209	0.19725884752784	0.286174489591831	0.212510196122348	0.209102511896675	0.0997379686334184	0.133189243147829	0.152926968460681	0.0770011677951862	0.12351715759815	0.206753874609815	0.11743266035424
5	ENSG00000002549	0.172184634713353	0.290080752904072	0.189205838983825	0.181589449974916	0.192592902151551	0.199160479358192	0.156843097163787	0.0659647063198884	0.106376969828186	0.163135221893714	0.205371751028216	0.167640479997325	0.179755314434149	0.123456451162588	0.116994877795525	0.128904128044874	0.187232124571429	0.101496692294907	0.141624437853502	0.205682453685455	0.164523398444702
