Phylostratum	GeneID	X4wpc	X5wpc	X6wpc	X7wpc	X8wpc	X9wpc	X10wpc	X11wpc	X12wpc	X13wpc	X16wpc	Neonate	Infant	Toddler	School	Teen	YoungAdult	MidAdult	Elderly
4	ENSG00000000003	0.940677966101695	0.923728813559322	0.717514124293785	0.76271186440678	0.672316384180791	0.610169491525424	0.694915254237289	0.700564971751413	0.64406779661017	0.474576271186441	0.514124293785311	0.415254237288135	0.313559322033898	0.26271186440678	0.192090395480226	0.0847457627118643	0.138983050847458	0.144067796610169	0.211864406779661
2	ENSG00000000419	0.711864406779661	0.754237288135593	0.559322033898305	0.669491525423728	0.847457627118644	0.728813559322034	0.38135593220339	0.412429378531074	0.432203389830509	0.296610169491526	0.220338983050847	0.258474576271186	0.432203389830508	0.491525423728813	0.43502824858757	0.451977401129944	0.383050847457627	0.38135593220339	0.516949152542373
8	ENSG00000000457	0.838983050847458	0.949152542372881	0.672316384180791	0.652542372881356	0.593220338983051	0.525423728813559	0.601694915254237	0.604519774011299	0.838983050847458	0.610169491525423	0.446327683615819	0.347457627118644	0.364406779661017	0.432203389830509	0.474576271186441	0.11864406779661	0.244067796610169	0.194915254237288	0.245762711864407
9	ENSG00000000460	0.949152542372881	0.932203389830509	0.638418079096045	0.805084745762712	0.666666666666667	0.652542372881356	0.652542372881356	0.525423728813559	0.771186440677966	0.313559322033898	0.355932203389831	0.313559322033898	0.101694915254237	0.127118644067796	0.322033898305085	0.248587570621469	0.352542372881356	0.466101694915254	0.177966101694915
7	ENSG00000001036	0.957627118644067	0.949152542372881	0.788135593220339	0.550847457627119	0.446327683615819	0.347457627118644	0.516949152542373	0.728813559322034	0.466101694915255	0.186440677966102	0.689265536723164	0.716101694915254	0.38135593220339	0.347457627118644	0.468926553672316	0.186440677966102	0.257627118644068	0.135593220338983	0.330508474576271
2	ENSG00000001084	0.847457627118644	0.652542372881356	0.542372881355932	0.398305084745763	0.231638418079096	0.381355932203389	0.898305084745763	0.757062146892655	0.64406779661017	0.601694915254237	0.3954802259887	0.567796610169492	0.14406779661017	0.161016949152542	0.700564971751412	0.322033898305085	0.396610169491525	0.389830508474577	0.305084745762712
1	ENSG00000001167	0.915254237288136	0.889830508474576	0.652542372881356	0.771186440677966	0.644067796610169	0.593220338983051	0.728813559322034	0.694915254237288	0.813559322033899	0.593220338983051	0.406779661016949	0.283898305084746	0.161016949152542	0.296610169491526	0.288135593220339	0.163841807909604	0.271186440677966	0.406779661016949	0.186440677966102
2	ENSG00000001461	0.0762711864406778	0.144067796610169	0.336158192090396	0.161016949152542	0.203389830508475	0.228813559322034	0.457627118644068	0.502824858757062	0.466101694915254	0.601694915254237	0.485875706214689	0.415254237288136	0.677966101694915	0.864406779661017	0.88135593220339	0.824858757062147	0.888135593220339	0.813559322033899	0.76271186440678
9	ENSG00000001497	0.26271186440678	0.338983050847458	0.302259887005649	0.449152542372881	0.672316384180791	0.576271186440678	0.398305084745763	0.367231638418079	0.364406779661017	0.322033898305085	0.440677966101695	0.326271186440678	0.974576271186441	0.61864406779661	0.632768361581921	0.745762711864407	0.776271186440678	0.796610169491526	0.830508474576271
4	ENSG00000001617	0.59322033898305	0.525423728813559	0.627118644067796	0.711864406779661	0.937853107344633	0.923728813559322	0.796610169491525	0.76271186440678	0.686440677966102	0.805084745762712	0.706214689265537	0.190677966101695	0.245762711864407	0.296610169491526	0.107344632768361	0.0847457627118645	0.335593220338983	0.161016949152542	0.271186440677966
3	ENSG00000001629	0.449152542372881	0.567796610169492	0.65819209039548	0.669491525423729	0.644067796610169	0.627118644067796	0.85593220338983	0.858757062146893	0.983050847457627	0.822033898305085	0.64406779661017	0.419491525423729	0.135593220338983	0.161016949152542	0.412429378531073	0.135593220338983	0.210169491525424	0.211864406779661	0.152542372881356
