Phylostratum	GeneID	X4wpc	X5wpc	X7wpc	X8wpc	X9wpc	X10wpc	X11wpc	X12wpc	X13wpc	X16wpc	X18wpc	X19wpc	Neonate	Infant	Toddler	School	Teen	YoungAdult	MidAdult	Elderly
4	ENSG00000000003	0.364432772478047	0.3397773296532	0.314176324169119	0.255101581266188	0.198954109157414	0.377187897852107	0.161488571824867	0.317989296799186	0.273708076004073	0.348283407175553	0.286856781617399	0.290924550186323	0.206283138302028	0.287996245985931	0.274895008944965	0.137424035995545	0.0675548352847433	0.179192089342695	0.141267583082811	0.0539054255959955
2	ENSG00000000419	0.220724383775535	0.199543660505934	0.195887338622445	0.258873031166184	0.213622253973917	0.257077552385405	0.143001142976459	0.173249814779132	0.190363621304436	0.229676508255471	0.240539875088975	0.238658982272103	0.217247897578682	0.196408583657287	0.157047480859768	0.173664922398695	0.148229801063905	0.148270902890678	0.149819175909672	0.12875403986676
8	ENSG00000000457	0.426287623316101	0.393428646001177	0.341416552947461	0.35730260894375	0.336791977252808	0.441796497610033	0.339418348124003	0.260991347488997	0.247499515468938	0.324403314832951	0.278750189355962	0.314598035027286	0.295734983742393	0.383572098949666	0.309829618180494	0.246211107541587	0.351666899352321	0.260517115395448	0.299147196747242	0.246431163844827
9	ENSG00000000460	0.338107642071377	0.301061276929265	0.300004792547966	0.181109399768372	0.27400552378632	0.15821090721454	0.190425444080737	0.244136781682986	0.199180770657026	0.27998379824741	0.109042835409364	0.350842560675866	0.232595121655534	0.218188119538495	0.050004694228715	0.150342031672258	0.133764290622934	0.137319487927856	0.172058744084608	0.163203345586282
7	ENSG00000001036	0.194914981600989	0.0983452720475594	0.160672855131996	0.147756403887631	0.224801801206236	0.135058963727334	0.06210836903368	0.0366660054001207	0.179062925719939	0.275816329901195	0.240863418877773	0.296138982233184	0.175906551848973	0.263103707732798	0.0399380869786603	0.133805760819431	0.12649293586548	0.239804797699166	0.358423131101823	0.118465009616194
2	ENSG00000001084	0.432884369235776	0.296736325813974	0.349385689531146	0.242108625859454	0.246967259764375	0.360360590380468	0.245247260311384	0.252136786892373	0.309476482849618	0.326301438103712	0.309229692992412	0.325292379729647	0.283273163813804	0.18301463138376	0.238276684035845	0.15506076701647	0.150999718985202	0.239647664842334	0.273840054983965	0.138318009885031
1	ENSG00000001167	0.924119084373264	0.693291508121717	0.520859229747757	0.132438206666546	0.30263575383905	0.219157635174454	0.301397231502952	0.418262593599825	0.254260860823397	0.202208943528179	0	0.474366079068523	0.296243253397207	0.229482684103938	0	0	0.0237485411759462	0.00556638189457727	0.266302407068751	0.00904999380689485
2	ENSG00000001461	0.09230882693882	0.163842488685038	0.106793633030411	0.0547324313899962	0.0558210928729127	0.0837517548540913	0.0616251822781468	0.0355101332198459	0.0332204590916498	0.02331542572636	0.014944005485364	0.066601691280747	0.0174002665910447	0.00535445371061066	0	0.00773753659003137	0.00462442021429748	0.00501781307872444	0.00393886879921413	0.00519781187833868
9	ENSG00000001497	0.184816280499402	0.171407609063613	0.306849236928375	0.296743398543999	0.29060390030268	0.254137122125614	0.255578860499438	0.302432004646186	0.267268851910003	0.331649085325626	0.205079630998792	0.331189257784621	0.238470010548021	0.147327539485746	0.162678826741561	0.125070661223976	0.0998183345876744	0.167598203462303	0.195545456207014	0.11945964209273
4	ENSG00000001617	0.320265602509373	0.335472149891323	0.316316989955207	0.24403844219496	0.236411040406243	0.285599045796253	0.187989191846112	0.420311819179442	0.280516722166983	0.295364657294971	0.198389230638931	0.321083471483852	0.231893298887325	0.155704140956911	0.051860062694	0.0258761633377297	0.140654611761091	0.229744834925907	0.16006105047085	0.0943871636650848
3	ENSG00000001629	0.651834702182367	0.43237791041859	0.389420460123397	0.249223625002883	0.193606555255086	0.41050151876318	0.334824943421028	0.462015665698366	0.378867958508717	0.402556878591701	0.18181834921565	0.261518268481584	0.344907433283959	0.0274925714441046	0.132112455210431	0.0391313188294624	0.0419768187275185	0.169398080648843	0.129222348163119	0.0165798905189057
4	ENSG00000001630	0.251396755202307	0.151132686272798	0.176283925400166	0.0713753063369518	0.0458801011291242	0.177396487251875	0.154667322139275	0.0717690461767555	0.0921625816840499	0.116221389086409	0.0388409215722897	0.0654053869200101	0.0416815522343843	0.0269688503622602	0.102372379309484	0.00351087656633569	0.010752485752713	0.0267472324250909	0.100681078452657	0.00287868395560143
